year_start,total_fed_loans_dollar_millions,fed_loans_undergrad
1970,7532.70926342564,
1971,9122.16745642637,
1972,8811.20229154689,
1973,8337.38546900946,
1974,8276.33699823525,
1975,7549.71304200314,
1976,7821.90817441056,
1977,9121.53900533028,
1978,10744.7011800483,
1979,14574.7400237717,
1980,19236.1853708885,
1981,19608.8780962339,
1982,17132.6571892802,
1983,18666.2382751909,
1984,19969.8510208225,
1985,19732.0651603083,
1986,19539.1397249829,
1987,20881.3584707157,
1988,20989.8135293145,
1989,20713.5870553291,
1990,20697.5553568155,15290.0175815242
1991,21535.4813529778,15954.078721231
1992,21850.2518096732,16113.1544409591
1993,29297.5425921359,21092.5296901162
1994,39144.7429838845,27232.6616057353
1995,43945.4128720862,30745.862374544
1996,47019.448788483,32902.6882225569
1997,48428.3798942622,34000.1921192814
1998,49596.1709809617,34475.6382097288
1999,50864.2665557627,35083.5514456342
2000,51591.02254137,35612.3998989367
2001,54704.7624407412,37789.1791284453
2002,61646.6742769042,42062.7428259897
2003,69639.2977021125,47442.7433405048
2004,74924.3753268537,50933.0803021723
2005,76630.4416898076,52029.7066613172
2006,78570.4601461265,51178.9686502157
2007,85684.590406284,54698.2430425528
2008,103893.996092975,69615.9765505264
2009,120688.687399506,81648.9116157208
2010,126049.306879561,84150.4716269467
2011,123154.234384612,82030.3552296901
2012,115803.046025819,76582.399284594
2013,112576.438715019,72938.5182430059
2014,106720.584262378,68243.9178721388
2015,104312.151548201,65315.8551699546
2016,102086.89197431,62326.6504829378
2017,98564.0907781552,58909.1921048047
2018,94062.2654503332,54927.5581874942
2019,91143.490574315,52153.7502173432
