year_start,total_fed_loans_dollar_millions
1970,7533
1971,9122
1972,8811
1973,8337
1974,8276
1975,7550
1976,7822
1977,9122
1978,10745
1979,14575
1980,19236
1981,19609
1982,17133
1983,18666
1984,19970
1985,19732
1986,19539
1987,20881
1988,20990
1989,20714
1990,20698
1991,21535
1992,21850
1993,29298
1994,39145
1995,43945
1996,47019
1997,48428
1998,49596
1999,50864
2000,51591
2001,54705
2002,61647
2003,69639
2004,74924
2005,76630
2006,78570
2007,85685
2008,103894
2009,120689
2010,126049
2011,123154
2012,115803
2013,112576
2014,106721
2015,104312
2016,102087
2017,98564
2018,94062
2019,91143
