academic year start,academic year end,4-year public,4-year private
1963,1964,7745,15093
1968,1969,8243,16992
1969,1970,8430,17424
1970,1971,8586,17836
1971,1972,8781,18244
1972,1973,9335,18575
1973,1974,8805,17775
1974,1975,8178,16907
1975,1976,8254,17016
1976,1977,8481,17430
1977,1978,8369,17414
1978,1979,8054,17309
1979,1980,7712,16609
1980,1981,7573,16610
1981,1982,7847,17302
1982,1983,8376,18676
1983,1984,8676,19610
1984,1985,8954,20552
1985,1986,9121,21814
1986,1987,9569,23216
1987,1988,9777,23669
1988,1989,9930,24354
1989,1990,10079,24885
1990,1991,10070,25426
1991,1992,10596,26536
1992,1993,10865,27089
1993,1994,11198,27978
1994,1995,11407,28393
1995,1996,11677,29322
1996,1997,11872,29853
1997,1998,12204,30328
1998,1999,12549,31155
1999,2000,12572,31509
2000,2001,12713,32109
2001,2002,13275,33052
2002,2003,13825,33600
2003,2004,14755,34653
2004,2005,15332,35238
2005,2006,15652,35332
2006,2007,16128,36441
2007,2008,16317,36726
2008,2009,17031,37427
2009,2010,17845,37797
2010,2011,18522,37833
2011,2012,18975,38067
2012,2013,19429,38994
2013,2014,19815,40067
2014,2015,20250,41287
2015,2016,20732,42679
2016,2017,20659,43956
2017,2018,20784,44714
2018,2019,20919,45369
2019,2020,21035,45932
